7,662,61,2,0
41,665,635,3,3
59,662,60,2,1
60,662,61,2,1
61,662,662,4,0
93,665,92,1,2
99,649,153,3,0
140,665,139,1,2
149,649,203,3,0
202,665,256,3,0
310,649,311,2,1
319,649,649,4,0
360,665,361,2,1
361,665,362,2,1
649,698,319,0,4
658,661,326,0,4
660,665,364,0,4
661,658,326,0,4
661,665,379,0,4
662,685,61,0,4
662,708,61,0,4
665,660,425,0,4
665,661,379,0,4
665,670,24,0,4
665,698,85,0,4
670,665,618,0,4
671,730,74,0,4
675,685,60,0,4
685,662,61,0,4
685,675,60,0,4
698,649,211,0,4
698,665,93,0,4
708,662,61,0,4
723,728,563,0,4
728,723,563,0,4
728,738,562,0,4
730,671,74,0,4
738,728,508,0,4
